ANIO,DELEGACIONES,SERVICIOS CULTURALES OTORGADOS A DERECHOHABIENTES Y PUBLICO,SERVICIOS DEPORTIVOS OTORGADOS A DERECHOHABIENTES Y PUBLICO,SERVICIOS TURISTICOS OTORGADOS A DERECHOHABIENTES Y PUBLICO,SERVICIOS FUNERARIOS OTORGADOS A DERECHOHABIENTES Y PUBLICO,TALLERES DE TERAPIA OCUPACIONAL OTORGADOS A PENSIONADOS,SOCIALES COMEDORES OTORGADOS A PENSIONADOS,FOMENTO DEPORTIVO OTORGADOS A PENSIONADOS,SERVICIOS EN TURISMO OTORGADOS A PENSIONADOS,SERVICIOS CULTURALES OTORGADOS A PENSIONADOS
2013,AGUASCALIENTES ,38316,27460,0,195,6844,0,3793,0,11569
2013,BAJA CALIFORNIA,63172,35382,0,86,1055,0,1605,0,10342
2013,BAJA CALIFORNIA SUR,22917,27582,0,34,2833,0,2489,0,3754
2013,CAMPECHE ,85376,71675,0,82,5583,0,5330,0,10283
2013,COAHUILA,65886,92230,0,4,9635,0,16641,0,11413
2013,COLIMA,75766,37125,0,36,6205,0,1300,0,9513
2013,CHIAPAS,92979,23992,0,200,1475,0,12000,0,1471
2013,CHIHUAHUA,39497,57939,0,165,11111,0,2543,0,7611
2013,DURANGO,88495,56697,0,22,1795,0,10806,0,4091
2013,GUANAJUATO,100270,63099,0,64,1320,0,2450,0,7530
2013,GUERRERO,41618,38573,0,72,890,0,3312,0,4932
2013,HIDALGO,111194,79355,0,74,1114,0,2835,0,5566
2013,JALISCO,43939,36767,0,377,22123,0,3158,0,6904
2013,MEXICO,81763,22479,0,3845,0,0,2378,0,2488
2013,MICHOACAN,19086,28705,0,229,11981,0,2440,0,5494
2013,MORELOS,144600,16066,0,53,1487,0,5015,0,6422
2013,NAYARIT,88738,54785,0,193,8403,0,3415,0,3864
2013,NUEVO LEON,133369,33175,0,2376,9970,0,2236,0,11513
2013,OAXACA,273717,18736,0,94,6178,0,1543,0,29140
2013,PUEBLA,12395,42828,0,539,5036,0,1890,0,11083
2013,QUERETARO,34708,43956,0,47,12766,0,3459,0,12622
2013,QUINTANA ROO,60073,47505,0,47,6610,0,2273,0,7956
2013,SAN LUIS POTOSI,163205,67299,0,60,9984,0,6535,0,8847
2013,SINALOA,50637,9317,0,0,4643,0,1023,0,14161
2013,SONORA,65564,13559,0,37,22,0,2080,0,4577
2013,TABASCO,43996,69679,0,118,1783,0,11541,0,5842
2013,TAMAULIPAS,12487,29228,0,12,148,0,1920,0,1060
2013,TLAXCALA,132736,25324,0,78,7757,0,2796,0,21951
2013,VERACRUZ,40535,58583,0,76,3455,0,4384,0,1263
2013,YUCATAN,115974,68631,0,11,3487,0,11485,0,27761
2013,ZACATECAS,116532,88862,0,433,6881,0,14260,0,10674
2013,SUBDELEG.NORTE,110241,127344,0,6436,2112,0,22831,0,9457
2013,SUBDELEG. SUR,77535,129901,0,14131,22755,0,15902,0,30301
2013,SUBDELEG. ORIENTE,116369,67913,0,0,5919,0,16094,0,7203
2013,SUBDELEG. PONIENTE,117133,104254,0,2529,5574,0,19327,0,51613
2013,OFICINAS CENTRALES,4458940,0,0,0,0,0,0,0,384945
2013,CONVIVE D.F.,0,0,0,0,4489,59853,0,47383,13678
2013,ISSSTEHUIXTLA,0,0,72610,0,0,12735,0,16128,0
2014,AGUASCALIENTES ,28882,24276,0,98,3303,0,4844,0,1740
2014,BAJA CALIFORNIA,80369,40548,0,78,2444,0,2097,0,7644
2014,BAJA CALIFORNIA SUR,29076,33897,0,36,1682,0,3826,0,1096
2014,CAMPECHE ,87248,75096,0,77,6429,0,5351,0,10574
2014,COAHUILA,49368,71020,0,9,7766,0,14356,0,6136
2014,COLIMA,77475,36780,0,83,6153,0,1225,0,11974
2014,CHIAPAS,18086,14706,0,1,924,0,11975,0,657
2014,CHIHUAHUA,92443,73046,0,240,11127,0,3363,0,4237
2014,DURANGO,62371,44928,0,16,4429,0,12643,0,5720
2014,GUANAJUATO,55334,63296,0,95,0,0,2414,0,4410
2014,GUERRERO,43644,39689,0,81,1010,0,2168,0,3552
2014,HIDALGO,118420,70442,0,74,1226,0,2188,0,7406
2014,JALISCO,50549,40021,0,447,11373,0,3200,0,7721
2014,MEXICO,244524,33134,0,4273,470,0,3437,0,8458
2014,MICHOACAN,116900,36603,0,219,19217,0,3402,0,58349
2014,MORELOS,128923,17123,0,55,1699,0,5276,0,7034
2014,NAYARIT,90923,55729,0,183,7051,0,3420,0,3978
2014,NUEVO LEON,106619,34983,0,2478,10718,0,2322,0,12343
2014,OAXACA,279230,28336,0,85,34685,0,6994,0,33335
2014,PUEBLA,54049,56161,0,321,4632,0,1805,0,11885
2014,QUERETARO,41550,40473,0,58,10584,0,3544,0,248
2014,QUINTANA ROO,11174,46109,0,0,620,0,2251,0,227
2014,SAN LUIS POTOSI,209668,80233,0,166,16736,0,12145,0,9706
2014,SINALOA,32266,15283,0,0,5180,0,1176,0,2254
2014,SONORA,68395,17727,0,56,3774,0,6149,0,2724
2014,TABASCO,56276,76730,0,93,2196,0,10498,0,3856
2014,TAMAULIPAS,21459,27677,0,6,748,0,1920,0,1805
2014,TLAXCALA,108344,25534,0,115,7377,0,2826,0,18713
2014,VERACRUZ,57523,57413,0,63,3784,0,4793,0,984
2014,YUCATAN,136792,73402,0,86,19708,0,13766,0,16785
2014,ZACATECAS,120190,89439,0,407,13137,0,12281,0,10115
2014,SUBDELEG.NORTE,101457,125658,0,5677,3537,0,22392,0,7219
2014,SUBDELEG. SUR,88242,109103,0,13462,17024,0,14006,0,12098
2014,SUBDELEG. ORIENTE,91827,70010,0,0,10472,0,25621,0,16516
2014,SUBDELEG. PONIENTE,154188,102821,0,2558,5203,0,17885,0,19915
2014,µREAS CENTRALES,2893725,0,0,0,0,0,0,0,14790
2014,CONVIVE D.F.,0,0,0,0,5077,66937,0,64237,15756
2014,ISSSTEHUIXTLA,0,0,78209,0,0,25886,0,27275,0
2015,AGUASCALIENTES ,39725,24096,0,30,462,0,3748,0,7016
2015,BAJA CALIFORNIA,83223,41949,0,50,2295,0,2446,0,12254
2015,BAJA CALIFORNIA SUR,25967,32707,0,10,1700,0,2856,0,2351
2015,CAMPECHE ,74323,72228,0,79,6690,0,5373,0,9586
2015,COAHUILA,59386,71299,0,18,8350,0,15877,0,10336
2015,COLIMA,69174,36867,0,95,6191,0,1315,0,10975
2015,CHIAPAS,36710,22440,0,0,711,0,6508,0,2691
2015,CHIHUAHUA,77265,61104,0,153,7142,0,2637,0,7360
2015,DURANGO,83066,51576,0,30,8356,0,10380,0,9561
2015,GUANAJUATO,33575,64023,0,61,595,0,2319,0,7316
2015,GUERRERO,39556,33729,0,55,1400,0,2644,0,1212
2015,HIDALGO,106996,71296,0,58,1319,0,1748,0,9879
2015,JALISCO,48617,40187,0,232,35664,0,3018,0,7193
2015,MEXICO,243748,33879,0,2770,5211,0,1944,0,10747
2015,MICHOACAN,67161,29015,0,0,32440,0,2094,0,58308
2015,MORELOS,117939,15164,0,60,2188,0,5651,0,7439
2015,NAYARIT,86309,54848,0,202,6477,0,3200,0,3724
2015,NUEVO LEON,114666,34915,0,2745,10644,0,2371,0,11766
2015,OAXACA,279410,32738,0,53,30884,0,12133,0,31662
2015,PUEBLA,74815,56353,0,240,6392,0,1778,0,17760
2015,QUERETARO,38881,48376,0,13,9292,0,3332,0,8359
2015,QUINTANA ROO,13941,26925,0,0,0,0,2098,0,111
2015,SAN LUIS POTOSI,234704,83159,0,97,16522,0,8080,0,10061
2015,SINALOA,47451,16979,0,0,5059,0,1703,0,6702
2015,SONORA,61553,14915,0,1,1349,0,2233,0,3144
2015,TABASCO,63340,48121,0,89,2136,0,8829,0,5856
2015,TAMAULIPAS,32266,30392,0,13,753,0,1920,0,2530
2015,TLAXCALA,113562,25819,0,119,8598,0,2958,0,17652
2015,VERACRUZ,59809,47295,0,58,3934,0,1675,0,2091
2015,YUCATAN,137489,73184,0,131,18376,0,12062,0,25933
2015,ZACATECAS,119575,88408,0,370,12570,0,12320,0,15353
2015,SUBDELEG.NORTE,91117,105498,0,5450,2730,0,19350,0,8193
2015,SUBDELEG. SUR,187915,110643,0,10506,11585,0,16086,0,11275
2015,SUBDELEG. ORIENTE,67770,73085,0,54,12486,0,37665,0,5704
2015,SUBDELEG. PONIENTE,113765,109969,0,2363,2813,0,19039,0,32298
2015,OFICINAS CENTRALES,2730808,0,0,0,0,0,0,0,36648
2015,CONVIVE D.F.,0,0,0,0,5012,63767,0,52930,0
2015,ISSSTEHUIXTLA,0,0,81804,0,0,28158,0,32295,0
2016,AGUASCALIENTES ,21640,0,19465,0,1023,0,3437,0,5292
2016,BAJA CALIF. NORTE,60463,0,27540,0,2478,0,1778,0,6139
2016,BAJA CALIF. SUR,10646,0,24981,0,868,0,2571,0,1972
