Entidad Federativa,Periodo,Hogares con conexión a Internet. Porcentaje,Hogares con conexión a Internet. Hogares,Hogares. Total
Estados Unidos Mexicanos,2010,22.2,"6,289,743","28,346,120"
Aguascalientes,2010,25.2,"71,148","282,214"
Baja California,2010,37.2,"320,908","861,971"
Baja California Sur,2010,28.7,"50,851","177,138"
Campeche,2010,20.5,"44,551","217,033"
Coahuila de Zaragoza,2010,25.3,"180,826","716,043"
Colima,2010,26.4,"46,432","175,975"
Chiapas,2010,5.1,"52,574","1,026,057"
Chihuahua,2010,26.4,"267,209","1,011,398"
Ciudad de México,2010,36.1,"942,495","2,608,431"
Durango,2010,18.5,"71,796","387,824"
Guanajuato,2010,15.7,"196,106","1,247,084"
Guerrero,2010,10.9,"83,246","766,476"
Hidalgo,2010,13.0,"80,414","616,836"
Jalisco,2010,26.4,"487,522","1,843,416"
México,2010,23.8,"903,562","3,789,329"
Michoacán de Ocampo,2010,13.3,"136,803","1,030,911"
Morelos,2010,26.7,"119,734","448,694"
Nayarit,2010,21.3,"55,496","260,876"
Nuevo León,2010,35.3,"439,343","1,243,658"
Oaxaca,2010,8.4,"75,217","898,471"
Puebla,2010,13.7,"189,174","1,382,215"
Querétaro,2010,22.0,"97,070","442,029"
Quintana Roo,2010,31.1,"121,103","388,999"
San Luis Potosí,2010,16.5,"103,442","625,101"
Sinaloa,2010,25.9,"180,592","698,124"
Sonora,2010,31.4,"214,751","684,499"
Tabasco,2010,13.9,"74,107","531,616"
Tamaulipas,2010,24.7,"214,584","867,837"
Tlaxcala,2010,9.8,"26,532","270,404"
Veracruz de Ignacio de la Llave,2010,14.7,"292,161","1,985,701"
Yucatán,2010,20.5,"104,034","506,339"
Zacatecas,2010,13.0,"45,960","353,421"
Estados Unidos Mexicanos,2011,23.3,"6,994,654","30,064,255"
Aguascalientes,2011,28.8,"87,286","303,253"
Baja California,2011,38.1,"336,752","884,682"
Baja California Sur,2011,40.7,"77,245","190,023"
Campeche,2011,22.2,"48,476","217,871"
Coahuila de Zaragoza,2011,24.9,"187,279","753,042"
Colima,2011,28.9,"54,662","189,025"
Chiapas,2011,10.4,"118,455","1,135,253"
Chihuahua,2011,26.5,"249,940","943,640"
Ciudad de México,2011,38.7,"978,726","2,526,941"
Durango,2011,24.3,"103,350","425,728"
Guanajuato,2011,16.4,"222,209","1,359,029"
Guerrero,2011,11.8,"102,147","862,087"
Hidalgo,2011,13.4,"92,919","691,354"
Jalisco,2011,28.9,"557,090","1,927,656"
México,2011,21.7,"887,800","4,084,915"
Michoacán de Ocampo,2011,14.4,"170,125","1,179,038"
Morelos,2011,27.1,"130,040","480,395"
Nayarit,2011,21.9,"67,446","308,111"
Nuevo León,2011,34.7,"444,217","1,281,128"
Oaxaca,2011,8.0,"77,513","971,804"
Puebla,2011,16.2,"229,832","1,415,654"
Querétaro,2011,26.4,"124,005","470,212"
Quintana Roo,2011,36.0,"140,399","390,284"
San Luis Potosí,2011,20.4,"138,642","678,098"
Sinaloa,2011,25.6,"186,546","728,605"
Sonora,2011,33.3,"248,048","744,011"
