Edades,Año,Usuarios_total,Usuarios_hombres,Usuarias_mujeres,Total,Hombres,Mujeres,%_Total,%_Hombres,%_Mujeres
Total,2015,55735713,28301198,27434515,108737172,52183926,56553246,51.3,54.2,48.5
6-11 años,2015,7927778,4065064,3862714,13474441,6706240,6768201,58.8,60.6,57.1
12 -17 años,2015,11503347,5950297,5553050,14069326,7268232,6801094,81.8,81.9,81.6
18-25 años,2015,11796583,6019660,5776923,16718465,8281431,8437034,70.6,72.7,68.5
26-49 años,2015,19695302,9643169,10052133,39723777,18684479,21039298,49.6,51.6,47.8
50 a 59 años ,2015,3207009,1702204,1504805,11312587,4980533,6332054,28.3,34.2,23.8
60 años y más,2015,1605694,920804,684890,13438576,6263011,7175565,11.9,14.7,9.5
Total,2016,51708327,25315760,26392567,110044216,51881594,58162622,47,48.8,45.4
6-11 años,2016,7496419,3616168,3880251,13430309,6568985,6861324,55.8,55,56.6
12 -17 años,2016,10839520,5344527,5494993,14202205,7066208,7135997,76.3,75.6,77
18-25 años,2016,10646518,5291584,5354934,16627890,8148492,8479398,64,64.9,63.2
26-49 años,2016,17839337,8561541,9277796,39927610,18434390,21493220,44.7,46.4,43.2
50 a 59 años ,2016,3177699,1576761,1600938,11959314,5374457,6584857,26.6,29.3,24.3
60 años y más,2016,1708834,925179,783655,13896888,6289062,7607826,12.3,14.7,10.3
Total,2017,50591325,25560049,25031276,111728019,53949779,57778240,45.3,47.4,43.3
6-11 años,2017,6657191,3385664,3271527,13127874,6622546,6505328,50.7,51.1,50.3
12 -17 años,2017,10592705,5390127,5202578,14313050,7288668,7024382,74,74,74.1
18-25 años,2017,10690743,5423331,5267412,16998009,8473390,8524619,62.9,64,61.8
26-49 años,2017,17795052,8693651,9101401,40834985,19245455,21589530,43.6,45.2,42.2
50 a 59 años ,2017,3358870,1813798,1545072,12466080,5886295,6579785,26.9,30.8,23.5
60 años y más,2017,1496764,853478,643286,13988021,6433425,7554596,10.7,13.3,8.5
Total,2018,50845170,25192503,25652667,113003500,53606036,59397464,45,47,43.2
6-11 años,2018,6508298,3267326,3240972,13124563,6546193,6578370,49.6,49.9,49.3
12 -17 años,2018,10167231,5039932,5127299,13738151,6858497,6879654,74,73.5,74.5
18-25 años,2018,10511752,5224605,5287147,12520017,8112830,8613315,84,64.4,61.4
26-49 años,2018,18263928,8763065,9500863,41374656,19264439,22110217,44.1,45.5,43
50 a 59 años ,2018,3497420,1805230,1692190,12897125,5918288,6978837,27.1,30.5,24.2
60 años y más,2018,1896541,1092345,804196,15142860,6905789,8237071,12.5,15.8,9.8
Total,2019,49426572,24654472,24772100,115065309,54349381,60715928,43,45.4,40.8
6-11 años,2019,6072939,2829935,3243004,13527061,6901295,6625766,44.9,41,48.9
12 -17 años,2019,8635473,4116335,4519138,13681296,6783055,6898241,63.1,60.7,65.5
18-25 años,2019,9678010,5005339,4672671,12163617,7878164,8020329,79.6,63.5,58.3
26-49 años,2019,19059441,9525487,9533954,42214786,19560664,22654122,45.1,48.7,42.1
50 a 59 años ,2019,4151284,2201803,1949481,13391099,6161397,7229702,31,35.7,27
60 años y más,2019,1829425,975573,853852,16352574,7064806,9287768,11.2,13.8,9.2
